0	G000719975	THIRD
3	G000698595	THIRD
2	G000718015	THIRD
4	G000718985	THIRD
0	G000701465	THIRD
0	G000755385	THIRD
2	G000757725	THIRD
0	G000709735	THIRD
0	G000712635	THIRD
1	G000691645	THIRD
2	G000745395	THIRD
6	G000626675	THIRD
18	G000737335	THIRD
2	G000756655	THIRD
0	G000691685	THIRD
9	G000751775	THIRD
3	G000746195	THIRD
6	G000759655	THIRD
6	G000759025	THIRD
0	G000759065	THIRD
3	G000760235	THIRD
0	G000760735	THIRD
4	G000759445	THIRD
2	G000763135	THIRD
0	G000764205	THIRD
1	G000767135	THIRD
0	G000991935	THIRD
0	G000828915	THIRD
4	G000981785	THIRD
0	G000987765	THIRD
0	G000989775	THIRD
1	G000956475	THIRD
0	G000813665	THIRD
1	G000980495	THIRD
0	G000787835	THIRD
14	G000950575	THIRD
2	G000816085	THIRD
1	G000934725	THIRD
2	G000769655	THIRD
1	G000970285	THIRD
0	G000951135	THIRD
2	G000771955	THIRD
0	G000768705	THIRD
18	G000967895	THIRD
22	G000961655	THIRD
1	G000992205	THIRD
0	G000993595	THIRD
1	G000992365	THIRD
0	G000992165	THIRD
0	G000992745	THIRD
1	G000993305	THIRD
0	G000994465	THIRD
0	G000995125	THIRD
0	G000996035	THIRD
0	G000997945	THIRD
0	G001001445	THIRD
0	G001005015	THIRD
2	G001007625	THIRD
0	G001002285	THIRD
1	G001003585	THIRD
0	G000998555	THIRD
1	G001002345	THIRD
0	G000999175	THIRD
0	G001015055	THIRD
1	G001000125	THIRD
4	G001003415	THIRD
8	G001000505	THIRD
1	G001002405	THIRD
0	G001027925	THIRD
5	G001021975	THIRD
6	G001028625	THIRD
0	G001001925	THIRD
13	G001029295	THIRD
2	G001047215	THIRD
1	G001056295	THIRD
14	G001263755	THIRD
18	G001189495	THIRD
0	G001276615	THIRD
4	G001283625	THIRD
14	G001299475	THIRD
0	G001303125	THIRD
11	G001310395	THIRD
3	G001425835	THIRD
0	G001418015	THIRD
0	G001427985	THIRD
1	G001427875	THIRD
2	G001316025	THIRD
0	G001316245	THIRD
2	G001422215	THIRD
1	G001310455	THIRD
0	G001423695	THIRD
0	G001420285	THIRD
0	G001403615	THIRD
2	G001412595	THIRD
8	G001314905	THIRD
0	G001422605	THIRD
5	G001426545	THIRD
0	G001425085	THIRD
0	G001401795	THIRD
1	G001310815	THIRD
0	G001402795	THIRD
0	G001428065	THIRD
5	G001430825	THIRD
5	G001434225	THIRD
2	G001431505	THIRD
6	G001435585	THIRD
2	G001434695	THIRD
0	G001435695	THIRD
9	G001436045	THIRD
7	G001437075	THIRD
6	G001438015	THIRD
19	G001438085	THIRD
1	G001475745	THIRD
5	G001469955	THIRD
1	G001507995	THIRD
0	G001439215	THIRD
2	G001462305	THIRD
13	G001465855	THIRD
18	G001464455	THIRD
1	G001462175	THIRD
2	G001462315	THIRD
3	G001438315	THIRD
15	G001464125	THIRD
0	G001508895	THIRD
0	G001442615	THIRD
0	G001516705	THIRD
9	G001510075	THIRD
14	G001510185	THIRD
0	G001513315	THIRD
3	G001543385	THIRD
0	G001545115	THIRD
1	G001560275	THIRD
0	G001548375	THIRD
0	G001550135	THIRD
1	G001553605	THIRD
8	G001563795	THIRD
0	G001577185	THIRD
3	G001567275	THIRD
2	G001578205	THIRD
8	G001583415	THIRD
11	G001603205	THIRD
0	G001590785	THIRD
0	G001592745	THIRD
0	G001583435	THIRD
9	G001601575	THIRD
0	G001603225	THIRD
16	G001603795	THIRD
1	G001632485	THIRD
1	G001627595	THIRD
4	G001656105	THIRD
0	G001598215	THIRD
0	G001627095	THIRD
19	G001604005	THIRD
14	G001604025	THIRD
15	G001643535	THIRD
2	G001618885	THIRD
12	G001678845	THIRD
0	G001673105	THIRD
1	G001625535	THIRD
2	G001625515	THIRD
3	G001627795	THIRD
0	G001632005	THIRD
2	G001693275	THIRD
0	G001705725	THIRD
0	G001713665	THIRD
0	G001730525	THIRD
5	G001742205	THIRD
8	G001767575	THIRD
0	G001768305	THIRD
10	G001770165	THIRD
1	G001772795	THIRD
1	G001772885	THIRD
3	G001773055	THIRD
0	G001773295	THIRD
1	G001780275	THIRD
1	G001780445	THIRD
1	G001792935	THIRD
11	G001780385	THIRD
0	G001776855	THIRD
1	G001787555	THIRD
0	G001785695	THIRD
0	G001773615	THIRD
1	G001790035	THIRD
0	G001783215	THIRD
1	G001793355	THIRD
0	G001790575	THIRD
0	G001789805	THIRD
0	G001775965	THIRD
2	G001789965	THIRD
0	G001788225	THIRD
3	G001787885	THIRD
17	G001795085	THIRD
0	G001793975	THIRD
0	G001794605	THIRD
11	G001796575	THIRD
13	G001796655	THIRD
17	G001797045	THIRD
16	G001798265	THIRD
1	G001798315	THIRD
0	G001799925	THIRD
18	G001799255	THIRD
13	G001800495	THIRD
0	G001801405	THIRD
17	G001801315	THIRD
25	G001803785	THIRD
0	G001804205	THIRD
1	G001817035	THIRD
20	G001805765	THIRD
2	G001805025	THIRD
1	G001820325	THIRD
0	G001819635	THIRD
0	G001817915	THIRD
0	G001819535	THIRD
2	G001820905	THIRD
0	G001819135	THIRD
1	G001821115	THIRD
0	G001821135	THIRD
3	G001821295	THIRD
0	G001822935	THIRD
1	G001823055	THIRD
19	G001824645	THIRD
0	G001823545	THIRD
1	G001825635	THIRD
18	G001825715	THIRD
