Len1	Boot1	Len2	Boot2
0.0021911092	N300	0.0014895079	N219
0.0028695582	N303	0.0009713126	N217
2e-06	N302	7.73013e-05	N216
0.0022353787	N301	0.0001259508	N215
0.0021365614	N316	0.0089869532	N231
3e-06	N307	8.08739e-05	N222
2e-06	N306	0.0005728564	N221
0.001811555	N305	0.0110349014	N220
0.0023065839	N315	0.0013912206	N230
0.0021033715	N308	0.0073514035	N223
3.1816999999999995e-06	N314	0.0202833769	N229
0.0014713431	N310	8.31485e-05	N225
1e-06	N309	2.2072e-06	N224
0.0008841268	N313	0.000119011	N228
3e-06	N311	2.4607e-06	N226
0.3283476392	N328	0.4871125937	N139
0.0972029616	N327	0.0950762636	N138
0.1562570262	N326	0.2285497581	N137
0.2624512802	N360	0.2798545982	N169
0.2413090266	N340	0.2864882172	N151
0.1205864184	N332	0.1264229961	N143
0.0537472165	N331	0.0580411493	N142
0.07791265829999999	N330	0.0865956041	N141
0.056519569	N329	0.0894359293	N140
0.13239423	N339	0.1711461069	N150
0.0484889387	N338	0.0360885281	N149
0.0504984643	N334	0.0468082239	N145
0.0673423088	N333	0.0743606109	N144
0.0423718502	N337	0.0431170657	N148
0.0968250478	N335	0.123070639	N147
0.1078771279	N359	0.1996817698	N168
0.1111635128	N344	0.075678347	N154
0.2030076798	N343	0.2092127339	N153
0.088880036	N342	0.1095153398	N152
0.1768523242	N358	0.1960711	N167
0.0706702622	N357	0.062070387	N166
0.0448657331	N356	0.0626999539	N165
0.0342739479	N348	0.0216702641	N157
0.0280094975	N355	0.0228569017	N164
0.0213757381	N354	0.0175975335	N163
0.0193283623	N353	0.0105581706	N162
0.0239587113	N350	0.0341186413	N161
0.0197461119	N349	0.0222272492	N160
0.0354590966	N352	0.0182063298	N159
0.0495580293	N351	0.0413001261	N158
0.1357542782	N346	0.1307876608	N156
0.31332673	N88	0.3899313511	N9
0.0756663652	N447	0.0372724462	N357
0.0626917155	N446	0.0190809615	N356
0.0894140785	N445	0.115650052	N355
0.2714565288	N390	0.368324271	N321
0.0815184023	N378	0.0909401929	N310
0.068300575	N373	0.0699362925	N305
0.1385085714	N372	0.1978125313	N304
0.0471818163	N377	0.06734197	N309
0.0270982929	N376	0.0250683462	N308
0.0181133172	N375	0.0106546082	N307
0.0146882187	N374	0.0132872338	N306
0.0610608801	N389	0.0488625477	N320
0.0684617985	N379	0.0664949663	N311
0.0677432482	N388	0.1179662516	N319
0.0457806741	N387	0.0323012519	N318
0.0974426192	N382	0.1341446207	N313
0.0876349253	N386	0.1394681472	N317
0.0840143262	N385	0.0965034627	N316
0.0629084983	N384	0.080656049	N315
0.0197999074	N383	0.0221126167	N314
0.109481139	N380	0.0774715591	N312
0.182697338	N444	0.2583462948	N354
0.0850131516	N443	0.0817211491	N353
0.0633196169	N395	0.0940788449	N325
0.1611861443	N394	0.173709549	N324
0.0487932732	N393	0.0722496526	N323
0.0697666983	N392	0.0596938636	N322
0.0688282661	N442	0.0649099467	N352
0.1167690651	N440	0.1537500551	N337
0.0639269012	N439	0.1021514703	N336
0.1715870842	N426	0.1802162571	N326
0.1472047194	N437	0.1016683805	N334
0.0945467206	N432	0.1549870737	N333
0.0124176462	N429	0.035019194	N330
0.012499184	N431	0.0145268132	N332
0.0026287972	N430	0.0048186395	N331
0.0481406171	N436	0.0397251576	N328
